	p-value	FDR
RUNX2.1.S.B_besthit	0.9994867618903848	1.0
RUNX2.0.P.B_besthit	0.9996207329367791	1.0
RUNX1.0.P.B_besthit	0.9999999694463153	1.0
MAX.1.M.C_besthit	0.9964081426056988	1.0
CLOCK.0.M.C_besthit	0.9875129084898987	1.0
NPAS2.1.M.D_besthit	0.9896783694988549	1.0
BMAL1.0.PSM.A_besthit	0.9999999999645423	1.0
USF2.0.PSM.A_besthit	0.9999999493098061	1.0
ARNT2.0.P.B_besthit	0.9997032254429741	1.0
MLX.0.PM.A_besthit	0.9999993901919373	1.0
MLX.1.SM.B_besthit	0.9999999999999999	1.0
MLXPL.0.S.D_besthit	0.9995566834759297	1.0
TFE3.0.PSM.A_besthit	0.9999999999940795	1.0
TFEC.1.SM.D_besthit	0.999999942101623	1.0
MITF.0.P.B_besthit	0.20972875023974694	1.0
ARNT2.2.S.C_besthit	0.9999999999986497	1.0
USF1.0.PSM.A_besthit	1.0	1.0
SRBP1.0.P.B_besthit	0.9877017261502886	1.0
SRBP2.2.M.C_besthit	0.9999999946940553	1.0
TFEB.1.P.C_besthit	0.979732008263328	1.0
TFEB.0.SM.B_besthit	0.9999999854909343	1.0
TFEC.0.M.D_besthit	0.9999999999940051	1.0
GMEB1.2.SM.B_besthit	1.9067842397111914e-05	0.0006417151561409851
CREB1.0.PSM.A_besthit	0.9289375034477549	1.0
ATF6B.0.SM.D_besthit	0.9999954862462996	1.0
CREB3.0.SM.D_besthit	0.9978701855513192	1.0
XBP1.1.M.B_besthit	0.9994042804424943	1.0
ATF3.1.P.B_besthit	0.9999999989419049	1.0
ATF6A.0.SM.D_besthit	1.0	1.0
JUN.1.S.C_besthit	0.999999999522636	1.0
JUNB.1.S.C_besthit	1.0	1.0
ATF1.0.P.B_besthit	1.0	1.0
CREM.0.PSM.A_besthit	1.0	1.0
ZBED1.0.S.D_besthit	0.9547923163956985	1.0
IRX5.0.M.D_besthit	0.9999999925412824	1.0
PAX3.1.SM.B_besthit	0.9810892954285731	1.0
TFCP2.1.SM.D_besthit	0.9999991542537968	1.0
TFCP2.0.SM.D_besthit	0.9999999143509456	1.0
UBIP1.0.SM.D_besthit	0.9999999631775587	1.0
TBX15.0.SM.D_besthit	0.9999795816690231	1.0
TBX3.0.PSM.A_besthit	0.9999999955036613	1.0
SIX4.1.M.C_besthit	0.8771807290782412	1.0
TBX18.0.M.D_besthit	0.9999999989424558	1.0
ZNF18.0.P.B_besthit	0.7848352396613534	1.0
TBX6.0.PSM.A_besthit	0.9996625183641059	1.0
TBX2.0.SM.D_besthit	0.9999974383486736	1.0
TBX21.0.PSM.A_besthit	0.9999998689812702	1.0
REL.0.P.B_besthit	0.008929017078398565	0.15790261780746936
NFKB2.0.PSM.A_besthit	0.9999805210654998	1.0
NFKB1.0.PS.A_besthit	0.9995583475292228	1.0
RELB.0.P.B_besthit	0.9962941357926463	1.0
TF65.0.P.B_besthit	0.9999930315034838	1.0
ZN75D.0.P.B_besthit	0.9950402567481376	1.0
SUH.0.P.B_besthit	0.9857916522394974	1.0
ZN550.0.P.C_besthit	0.9446225392486333	1.0
ZN580.0.SM.D_besthit	0.619747629511741	1.0
ZN580.1.SM.D_besthit	0.4448596823983189	1.0
ZF69B.0.P.C_besthit	0.1662529318827157	1.0
ZFP3.0.P.C_besthit	0.07824881222345612	0.9171488688516717
ZNF77.0.P.C_besthit	0.986379787262866	1.0
ZN480.1.P.C_besthit	0.6120450015054242	1.0
ZN254.0.P.C_besthit	0.46853802815954304	1.0
ZN790.0.P.C_besthit	0.9981708738095001	1.0
ZN875.0.P.C_besthit	0.19658090704750775	1.0
ZN586.0.P.C_besthit	0.9999794087863273	1.0
Z585B.0.P.C_besthit	0.9999999999729811	1.0
ZN675.0.P.C_besthit	0.9999999999999868	1.0
ZN529.0.P.B_besthit	0.997568631641693	1.0
ZN823.0.P.C_besthit	0.9378128338503687	1.0
RORG.0.M.C_besthit	0.9999999999999728	1.0
NR1D1.1.SM.B_besthit	0.9998883206338819	1.0
NR1D2.1.SM.B_besthit	0.9999959433214457	1.0
NR5A2.0.PSM.A_besthit	0.9916786903170439	1.0
NR1H2.1.P.C_besthit	0.10564078547647768	1.0
NR1H3.0.P.B_besthit	0.9970867822901898	1.0
NR2C1.0.S.C_besthit	1.0	1.0
RARA.0.PSM.A_besthit	1.0	1.0
ESR1.1.P.B_besthit	0.9999999829253592	1.0
ESR2.1.P.B_besthit	1.0	1.0
RARG.1.PSM.A_besthit	0.9999999999998178	1.0
RARA.2.P.B_besthit	0.9999999999976611	1.0
RORB.0.SM.D_besthit	0.17360610493839085	1.0
ERR3.0.PSM.A_besthit	0.14934659412733128	1.0
ERR1.0.PSM.A_besthit	0.9565805250105697	1.0
ERR2.0.PSM.A_besthit	0.9496975319805957	1.0
THA.1.PS.A_besthit	0.9999999957830991	1.0
THB.1.PSM.A_besthit	0.999999999839226	1.0
NR2F6.1.PSM.A_besthit	0.9999999948610026	1.0
RXRA.1.S.C_besthit	0.9999999999999495	1.0
NR2F6.3.SM.B_besthit	0.9981148745687485	1.0
NR2C2.0.SM.B_besthit	0.9999999999999184	1.0
RARB.0.SM.B_besthit	0.9999999999999997	1.0
VDR.1.PS.A_besthit	0.9997137232002141	1.0
RARG.2.SM.B_besthit	0.999997294062085	1.0
NR1H2.0.P.C_besthit	0.9511600578658378	1.0
RXRB.2.PS.A_besthit	0.9999999999997705	1.0
NR1H3.1.P.B_besthit	0.9999438813819757	1.0
RXRA.0.PS.A_besthit	1.0	1.0
PPARD.0.PSM.A_besthit	0.9999765346979244	1.0
RXRB.0.P.C_besthit	0.9999988081342025	1.0
COT2.0.P.B_besthit	0.9999999999999999	1.0
NR2F6.0.P.C_besthit	0.9999392842750906	1.0
NR2F6.2.SM.B_besthit	0.9999999999999883	1.0
RXRG.1.SM.B_besthit	1.0	1.0
THB.2.SM.B_besthit	0.9999999999987259	1.0
RARA.3.P.B_besthit	0.8737363999592889	1.0
RXRG.0.P.B_besthit	0.9890525627481663	1.0
RXRG.2.P.B_besthit	0.9999744463133144	1.0
RARB.1.P.B_besthit	0.9999490209704215	1.0
COT1.0.PSM.A_besthit	0.9999999999999992	1.0
COT2.1.P.B_besthit	0.9999999999984039	1.0
ZN296.0.S.D_besthit	3.414501790917314e-05	0.0011102638081434363
ZN768.1.P.B_besthit	0.7409984453943558	1.0
ZN140.0.P.B_besthit	0.9886100572644387	1.0
ZN140.1.SM.B_besthit	0.9927784135946393	1.0
LYL1.1.P.C_besthit	0.49548485975287276	1.0
SPI1.0.P.B_besthit	0.3837757485308021	1.0
IRF8.0.P.B_besthit	0.950743294519424	1.0
ETV7.0.SM.B_besthit	0.9995261054795078	1.0
ERF.0.PS.A_besthit	0.9979189351769367	1.0
ETV7.1.P.C_besthit	0.9999899338240467	1.0
OSR1.0.SM.D_besthit	2.0132818884297348e-09	1.352925429024782e-07
TYY1.1.S.B_besthit	8.461445256140105e-07	3.8768803719041934e-05
ZBT49.0.P.C_besthit	0.07613926247972337	0.9029220774066018
PBX1.0.P.B_besthit	0.9999999999955178	1.0
PBX3.0.P.B_besthit	0.9999999999999954	1.0
PKNX1.0.P.B_besthit	0.9999999999999912	1.0
NFYA.0.P.B_besthit	0.9999999999999835	1.0
NFYB.0.P.B_besthit	0.9999999999807052	1.0
NFYC.0.P.B_besthit	0.9999999967626299	1.0
PBX1.1.P.B_besthit	0.9999999999032655	1.0
PBX2.1.P.C_besthit	0.9999999904809947	1.0
ZBT43.0.S.D_besthit	0.9891563002940683	1.0
NFIX.1.S.D_besthit	0.8206721996344334	1.0
NFIB.1.PS.A_besthit	1.0	1.0
NFIC.1.PSM.A_besthit	1.0	1.0
ZN337.0.P.C_besthit	0.22183378527065184	1.0
GRHL1.0.PSM.A_besthit	0.004550267148068096	0.09080135351249237
TF2L1.1.P.B_besthit	0.9999999998438515	1.0
P53.0.P.B_besthit	0.9734037360064577	1.0
P63.1.PS.A_besthit	0.20747975722519896	1.0
ZN787.0.M.D_besthit	0.09655842538029284	1.0
NKX25.1.P.B_besthit	0.000759642050605849	0.01780742295373711
TGIF1.1.S.B_besthit	0.9999999448516043	1.0
PKNX1.2.SM.B_besthit	0.999999999999993	1.0
MEIS2.1.PSM.A_besthit	0.9999196718531302	1.0
PKNX2.1.SM.D_besthit	0.9999999841102948	1.0
MEIS1.1.PS.A_besthit	0.9999999482095914	1.0
